GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SUM_TIME_PLAYED
Lineups,-203468-1628963-1630551-1641731-1642273-,C. McCollum - M. Bagley III - J. Champagnie - B. Coulibaly - K. George,1610612764,WAS,1,0,1,0.0,16.0,92.9,90.9,96.0,97.0,-3.1,-6.1,0.375,0.5,7.3,0.263,0.727,0.512,0.182,0.365,0.48,100.0,100.57,83.81,33,0.5,73,63,36,63,16,143,95,142,147,92,159,95,101,79,187,153,149,202,97,47250
Lineups,-1641715-1641774-1642267-1642273-1642860-,C. Whitmore - T. Vukcevic - B. Carrington - K. George - W. Riley,1610612764,WAS,2,0,2,0.0,16.0,131.6,121.2,141.4,154.5,-9.8,-33.3,0.929,6.5,26.0,0.333,0.688,0.516,0.061,0.571,0.617,102.1,101.32,84.43,33,0.444,27,63,225,63,17,80,224,169,65,2,35,69,105,78,137,98,95,198,120,46900
Lineups,-203114-203468-1630551-1642259-1642267-,K. Middleton - C. McCollum - J. Champagnie - A. Sarr - B. Carrington,1610612764,WAS,4,1,3,0.25,16.0,124.1,119.4,167.4,161.1,-43.3,-41.7,0.529,3.0,18.0,0.316,0.429,0.364,0.083,0.559,0.587,101.3,105.26,87.72,36,0.36,7,2,264,56,15,86,228,180,107,17,97,88,175,171,142,102,111,171,146,49250
Lineups,-203468-1630551-1641774-1642267-1642273-,C. McCollum - J. Champagnie - T. Vukcevic - B. Carrington - K. George,1610612764,WAS,3,1,2,0.333,15.0,116.6,114.7,134.8,133.3,-18.2,-18.6,0.625,1.25,22.2,0.091,0.364,0.273,0.235,0.731,0.738,106.4,107.92,89.93,34,0.454,14,2,225,49,18,95,187,157,96,55,58,131,178,191,211,57,57,146,117,44700
Lineups,-203114-203468-1628963-1642273-1642364-,K. Middleton - C. McCollum - M. Bagley III - K. George - J. Watkins,1610612764,WAS,1,0,1,0.0,13.0,100.9,103.8,138.1,146.2,-37.2,-42.3,0.6,1.0,17.1,0.273,0.667,0.478,0.231,0.548,0.593,103.8,99.44,82.87,26,0.269,73,63,36,63,19,103,202,182,99,57,99,93,107,135,210,104,109,212,161,37650
Lineups,-1641731-1642259-1642267-1642273-1642848-,B. Coulibaly - A. Sarr - B. Carrington - K. George - T. Johnson,1610612764,WAS,3,0,3,0.0,10.0,80.2,85.7,78.7,78.3,1.5,7.5,0.5,0.67,14.8,0.222,0.583,0.429,0.286,0.5,0.516,112.7,109.43,91.19,21,0.545,14,63,264,63,22,151,77,83,108,87,117,112,142,149,228,114,134,139,88,28950
Lineups,-1630557-1641715-1642259-1642267-1642273-,C. Kispert - C. Whitmore - A. Sarr - B. Carrington - K. George,1610612764,WAS,3,0,3,0.0,10.0,130.6,121.7,130.8,122.7,-0.2,-1.0,0.5,6.0,19.4,0.2,0.545,0.381,0.043,0.614,0.624,97.3,104.01,86.68,23,0.515,14,63,264,63,20,79,166,137,108,3,92,115,149,169,133,88,93,179,94,31150
Lineups,-1641715-1642259-1642267-1642273-1642848-,C. Whitmore - A. Sarr - B. Carrington - K. George - T. Johnson,1610612764,WAS,4,0,4,0.0,10.0,43.7,42.1,143.0,142.1,-99.3,-100.0,0.333,0.2,4.8,0.091,0.5,0.235,0.263,0.231,0.279,92.4,94.34,78.62,19,-0.065,7,63,272,63,21,194,201,226,149,110,165,131,150,201,225,181,187,230,228,29000
Lineups,-203468-1641731-1642259-1642273-1642848-,C. McCollum - B. Coulibaly - A. Sarr - K. George - T. Johnson,1610612764,WAS,3,0,3,0.0,9.0,171.0,168.2,151.8,152.4,19.2,15.8,0.75,4.5,27.3,0.25,0.857,0.533,0.091,0.816,0.855,111.4,112.11,93.43,22,0.517,14,63,264,63,23,21,223,77,70,5,29,96,74,74,146,37,30,121,93,27615
Lineups,-203468-1628963-1642267-1642364-1642860-,C. McCollum - M. Bagley III - B. Carrington - J. Watkins - W. Riley,1610612764,WAS,3,1,2,0.333,9.0,135.0,131.6,99.0,100.0,36.0,31.6,0.667,6.0,23.1,0.143,0.615,0.45,0.053,0.667,0.675,98.4,99.13,82.61,19,0.72,14,2,225,49,24,61,96,61,80,3,54,126,134,141,134,63,75,214,59,27600
Lineups,-1628963-1630551-1642267-1642273-1642860-,M. Bagley III - J. Champagnie - B. Carrington - K. George - W. Riley,1610612764,WAS,2,1,1,0.5,9.0,119.8,127.8,82.4,73.7,37.4,54.1,0.444,4.0,12.9,0.6,1.0,0.75,0.056,0.375,0.439,100.4,102.66,85.55,18,0.657,27,2,36,36,25,64,73,44,142,6,137,25,1,23,135,149,153,190,67,25950
Lineups,-1630557-1641715-1641774-1642267-1642273-,C. Kispert - C. Whitmore - T. Vukcevic - B. Carrington - K. George,1610612764,WAS,2,0,2,0.0,8.0,146.4,142.1,108.3,110.0,38.2,32.1,0.636,1.75,25.0,0.4,0.8,0.667,0.211,0.813,0.821,115.6,116.27,96.89,19,0.663,27,63,225,63,27,48,144,60,95,47,36,54,82,32,204,38,37,106,66,24150
Lineups,-1630557-1641715-1641774-1642273-1642848-,C. Kispert - C. Whitmore - T. Vukcevic - K. George - T. Johnson,1610612764,WAS,2,1,1,0.5,8.0,81.8,81.8,28.7,27.3,53.1,54.5,0.375,1.5,11.5,0.077,0.813,0.483,0.091,0.429,0.429,121.8,124.97,104.14,22,0.972,27,2,36,36,26,154,50,43,147,49,144,133,81,134,146,139,158,75,38,25350
Lineups,-203468-1630551-1642259-1642273-1642848-,C. McCollum - J. Champagnie - A. Sarr - K. George - T. Johnson,1610612764,WAS,1,0,1,0.0,8.0,121.2,123.5,86.6,88.2,34.6,35.3,0.5,4.0,16.0,0.4,0.857,0.588,0.059,0.528,0.543,105.0,103.07,85.89,17,0.603,73,63,36,63,28,76,90,56,108,6,109,54,74,57,136,108,124,184,77,23750
Lineups,-203468-1641774-1642364-1642848-1642860-,C. McCollum - T. Vukcevic - J. Watkins - T. Johnson - W. Riley,1610612764,WAS,2,1,1,0.5,7.0,75.1,64.7,181.5,180.0,-106.3,-115.3,0.5,0.5,5.3,0.182,0.5,0.294,0.118,0.25,0.435,98.4,106.67,88.89,17,0.11,27,2,36,36,29,174,242,241,108,92,164,119,150,189,159,172,157,151,181,21600
Lineups,-1641715-1641731-1641774-1642267-1642273-,C. Whitmore - B. Coulibaly - T. Vukcevic - B. Carrington - K. George,1610612764,WAS,2,0,2,0.0,7.0,91.9,93.8,142.2,141.2,-50.3,-47.4,0.6,0.5,13.6,0.5,0.833,0.667,0.375,0.545,0.609,114.4,113.68,94.74,16,0.226,27,63,225,63,30,140,200,186,99,92,134,29,77,32,252,105,102,119,166,20900
Lineups,-203114-203468-1628963-1642267-1642860-,K. Middleton - C. McCollum - M. Bagley III - B. Carrington - W. Riley,1610612764,WAS,2,0,2,0.0,7.0,90.1,85.7,166.7,180.0,-76.6,-94.3,0.2,0.25,6.3,0.167,0.375,0.286,0.286,0.611,0.581,108.4,106.53,88.78,14,0.095,27,63,225,63,31,151,242,224,163,106,161,122,177,190,228,89,113,153,184,19600
Lineups,-203468-1642259-1642267-1642273-1642848-,C. McCollum - A. Sarr - B. Carrington - K. George - T. Johnson,1610612764,WAS,4,0,4,0.0,6.0,86.5,70.6,108.4,106.7,-21.9,-36.1,0.6,1.5,15.0,0.143,0.8,0.529,0.118,0.458,0.466,110.2,123.14,102.62,17,0.431,7,63,272,63,33,166,139,177,99,49,116,126,82,75,159,135,150,82,125,18710
Lineups,-203468-1630557-1641715-1641774-1642848-,C. McCollum - C. Kispert - C. Whitmore - T. Vukcevic - T. Johnson,1610612764,WAS,2,0,2,0.0,6.0,113.6,115.4,173.6,166.7,-60.0,-51.3,0.167,1.0,6.7,0.25,1.0,0.5,0.077,0.6,0.615,105.9,107.14,89.29,13,0.203,27,63,225,63,43,92,230,197,164,57,160,96,1,81,140,93,96,150,170,16800
Lineups,-203468-1630551-1642259-1642267-1642273-,C. McCollum - J. Champagnie - A. Sarr - B. Carrington - K. George,1610612764,WAS,3,0,3,0.0,6.0,62.7,61.5,109.7,107.7,-47.0,-46.2,0.5,0.25,5.9,0.375,1.0,0.583,0.308,0.25,0.34,103.8,105.76,88.14,13,-0.2,14,63,264,63,37,176,141,185,108,106,163,65,1,58,232,172,172,163,241,17700
Lineups,-203468-1630551-1641774-1642267-1642860-,C. McCollum - J. Champagnie - T. Vukcevic - B. Carrington - W. Riley,1610612764,WAS,2,0,2,0.0,6.0,137.5,133.3,162.5,150.0,-25.0,-16.7,0.6,0.0,20.0,0.0,0.667,0.25,0.0,0.611,0.687,95.1,100.47,83.72,12,0.369,27,63,225,63,40,52,203,153,99,111,72,134,107,192,1,89,73,205,143,17200
Lineups,-203468-1628963-1630551-1642267-1642364-,C. McCollum - M. Bagley III - J. Champagnie - B. Carrington - J. Watkins,1610612764,WAS,1,0,1,0.0,6.0,97.6,92.9,110.2,106.7,-12.6,-13.8,1.0,4.0,21.1,0.125,0.857,0.467,0.071,0.417,0.488,104.7,109.03,90.86,14,0.327,73,63,36,63,32,141,139,150,1,6,67,129,74,136,138,142,148,141,154,19150
Lineups,-203468-1628963-1630551-1630557-1641715-,C. McCollum - M. Bagley III - J. Champagnie - C. Kispert - C. Whitmore,1610612764,WAS,2,0,2,0.0,6.0,153.1,150.0,114.8,107.7,38.3,42.3,0.333,2.0,12.5,0.4,0.667,0.5,0.083,0.636,0.705,97.2,101.41,84.51,12,0.538,27,63,225,63,36,36,141,51,149,29,138,54,107,81,142,80,68,197,91,17750
Lineups,-203114-203468-1641715-1642259-1642267-,K. Middleton - C. McCollum - C. Whitmore - A. Sarr - B. Carrington,1610612764,WAS,3,0,3,0.0,6.0,90.0,81.8,162.0,175.0,-72.0,-93.2,0.333,0.25,8.3,0.0,0.0,0.0,0.364,0.75,0.75,90.1,90.25,75.2,11,0.065,14,63,264,63,35,154,238,221,149,106,152,134,192,212,250,43,48,244,193,18350
Lineups,-203114-203468-1641715-1641731-1642273-,K. Middleton - C. McCollum - C. Whitmore - B. Coulibaly - K. George,1610612764,WAS,1,0,1,0.0,6.0,116.5,115.4,93.2,85.7,23.3,29.7,0.5,0.0,16.7,0.25,1.0,0.5,0.0,0.464,0.504,111.4,116.76,97.3,13,0.561,73,63,36,63,44,92,87,63,108,111,100,96,1,81,1,134,140,102,84,16650
